agreement,score
7.0,0.8579299767785816
5.0,-1.300115968607861
2.0,
7.0,0.2738093703503147
1.0,
5.0,-0.88116303169792
7.0,0.47432785984503956
6.0,0.4972967794250689
5.0,-0.3158935257217037
4.0,-0.9543086723394241
7.0,0.578466581385176
2.0,-0.18273178098094384
3.0,0.33489560258617845
5.0,0.3020144003896516
7.0,0.8210129531207762
7.0,0.5099338551510775
3.0,
3.0,0.004754248876649971
5.0,0.3960256404308517
7.0,-0.44678162917375186
1.0,-0.7381158429343817
6.0,0.6679863297335992
5.0,-0.13801565880727926
3.0,-0.08650660010968149
7.0,-0.118484790269712
2.0,-0.2408269248923443
7.0,-0.8910513054711278
2.0,
5.0,0.007961286599227232
1.0,
7.0,-1.0841328738716411
2.0,-0.7465074812342992
1.0,
6.0,-0.054442387834099645
2.0,-0.1328171315691663
7.0,1.013425069197148
5.0,-0.17287167452053362
5.0,0.03091132841252305
7.0,1.750071597840569
7.0,1.4587120312009243
7.0,0.40834562328400015
7.0,0.5114793813597944
5.0,-0.28392454469534334
7.0,0.02649148033345476
7.0,0.3655642769132769
7.0,0.5131511167351515
3.0,-0.8218491652045039
7.0,0.0547226252549666
7.0,0.5933185207691946
5.0,-0.39187602448220676
2.0,-0.26567551863975825
6.0,
3.0,
2.0,
1.0,
7.0,0.04024280379613278
2.0,-0.0627713695626053
7.0,0.37933478447561714
5.0,-1.1690665119439232
2.0,-0.8863314425799764
5.0,0.397653493614167
7.0,1.2470683338583628
7.0,1.2617985441948238
7.0,0.9612489131097983
7.0,-0.15090859911201648
3.0,-0.45936623389822917
2.0,-0.44233246886256494
7.0,0.2239096508396516
7.0,0.599248743353407
1.0,
5.0,0.09099765167736885
3.0,0.28084020885586775
2.0,
4.0,-0.053558728380376355
5.0,-0.5004411143977995
6.0,0.16014694951378539
5.0,-0.9756552527288554
1.0,
5.0,-0.45627411697386805
1.0,
1.0,-0.5031329575716632
2.0,-1.3434080868456393
1.0,
1.0,0.3382471145762719
1.0,
1.0,
3.0,
3.0,-0.5496944063330775
1.0,-0.3754826446049083
1.0,
3.0,-0.4907266807324892
3.0,
3.0,-0.838750931381175
1.0,
3.0,-0.994279222630893
3.0,-0.19105441013033977
6.0,0.27090468322840217
4.0,0.16678721353519707
1.0,
1.0,-0.9256482784015176
2.0,-0.6196327641856613
2.0,-0.7855512021040625
1.0,
3.0,-0.5865985716661993
2.0,-0.4004810738290075
1.0,-0.38300194199332
1.0,
4.0,-1.1272804795502869
4.0,-0.7300678604014077
3.0,-0.3983933383364239
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,-0.08228278595919768
4.0,
7.0,1.4002934609833622
7.0,0.21966418278026761
4.0,1.0812068968396766
5.0,-0.1916682630279152
4.0,-0.5486040410773648
4.0,-0.5754468813366731
7.0,0.979975849167508
5.0,0.5206513338707637
2.0,
3.0,-0.052957113483303994
3.0,
3.0,0.021179629057516712
7.0,0.6810073937857811
6.0,-0.23865503208591304
7.0,0.496891462668732
7.0,1.1331837067736497
7.0,0.7831543769148773
7.0,0.7596078283060959
7.0,
5.0,0.19108064011585849
6.0,-0.47577601407469994
7.0,0.6160643151022541
5.0,-0.19018882814857366
7.0,0.9885442492256306
7.0,0.815393620167617
6.0,0.2473729534750484
5.0,-0.5401352719751527
2.0,-0.6450911595776682
6.0,1.0079433946038405
